CustomerId,CompanyCode,CustomerCode,CustomerName,City,PostalCode,Street,Telephone,GSTNo,SalesOrganisation,Dist_Channel,Division,SalesOffice,SalesGroup,Region,RegionDescription,LicenseNumber,ValidityOfLicense,Ship_To_Party,TM,Emp_Name,Plant
3914,1049,AGKKD2626,KRISHNAKANTA DAS,COOCHBEHAR,736171,"CHHOTOSHIMULGURI, P.O.-GHOKSAD",9635389163,19AYHPD1772F1ZI,AG01,01,VG,D010,897,25,West Bengal,,NULL,AGKKD2626,25030008,NULL,
3915,1049,AGRDP2423,RAHUL DEV PANDEY,"GREATER NOIDA WEST,TECH Z",764073,"#2243,BLUEBELL TOWER,GAUR SAUN",9650436600,,AG01,01,25,,,24,Uttar Pradesh,,NULL,AGRDP2423,00000000,NULL,
3916,1049,AGFP2310,FARMERS POINT,AGARTALA,799001,"1ST FLOOR,OPP:AMULYA MARKET,MA",7005080261,16AQWPN8916A1ZH,AG01,01,VG,D010,897,23,Tripura,,NULL,AGFP2310,25030008,NULL,
3917,1049,AGJLS2111,JAWAHAR LAL SINGH,BHOJPUR,802133,PURANA BHOJPUR,7654700941,10AABHJ1932K1ZP,AG01,01,VG,D008,802,04,Bihar,,NULL,AGJLS2111,25025315,NULL,
3918,1049,AGSAC184,SHAKTHI AGRO CHEMICALS,"PURNIA, B.H.",854315,"Gulab Bagh,Baisi,Baisi,Purnia",9931419617,10AKSPB7422M1Z5,AG01,01,VG,D008,611,04,Bihar,,NULL,AGSAC184,25003487,NULL,
3919,1049,AGKKB097,KISHAN KHAD BEEJ BHANDAR,"DHOLI, B.H.",843105,"Near Railway Station, ,Dholi S",9934644011,10MERPK5421A1ZS,AG01,01,VG,D008,612,04,Bihar,,NULL,AGKKB097,25003487,NULL,
3920,1049,AGAC321,AGRICULTURE CENTER,"ROHTAS, B.H.",821115,"DHARMSHALA ROAD,SASARAM ,ROHTA",9470057900,10AJHPK4395A1ZO,AG01,01,VG,,,04,Bihar,,NULL,AGAC321,25025315,NULL,
3921,1049,AGMDK1555,MAA DURGE KISAN SEWA KENDRA,MUZAFFARPUR,843117,"KOILI BHARAV,TENGARAHA,",9934895103,10BBMPK2069P1ZD,AG01,01,VG,D008,612,04,Bihar,,NULL,AGMDK1555,25003487,NULL,
3922,1049,AGMKB2633,MAA BHAWANI KHAD BIJ BHANDAR,MUZAFFARPUR,843126,"001, SARAIYA, SARAIYA, MUZAFFA",9470270463,10CIVPK5034M1ZZ,AG01,01,VG,D008,612,04,Bihar,,NULL,AGMKB2633,25003487,NULL,
3923,1049,AGGRV2406,GADI RAVI,"DOULTABAD,DOMMAT",502247,"7-30,GAJULAPALLY",7702256566,,AG01,01,25,,,01,Andhra Pradesh,,NULL,AGGRV2406,00000000,NULL,
3924,1049,AGSNRK1061,SETH SHEO NARIAN RAM KANWAR,"NARNAUL, HR",123001,NARNAUL,8901012383,,AG01,01,25,,,07,Haryana,,NULL,AGGRV2406,00000000,NULL,
3925,1049,AGKKS2699,KISAN KRISHI SEWA KENDRA-SATNA,SATNA,485226,NEAR BUS STAIND,9589247600,23ANXPT9121B1ZS,AG01,01,25,,,12,Madhya Pradesh,,NULL,AGKKS2699,00000000,NULL,
4041,1049,AGKAM1973,KOSHI AUTOMOBILES,"NEAR BUS STAND ,SUPAUL",852109,"SH-76,PIPRA ROAD",9973286491,10AALFK9014B1ZW,AG01,01,25,D008,611,04,Bihar,,NULL,AGKAM1973,25003487,NULL,
4060,1049,AGVFP2029,VENKATESHWARA FERTILIZERS AND PESTI,"NARAYANPET ,MAKTHAL",509208,NEHRU GUNJ ROAD,9440590516,36ALTPM0077H1ZR,AG01,01,25,D006,589,36,Telangana,,NULL,AGVFP2029,23146661,NULL,
4147,1049,AGMSP1012,MAHALAKSHMI SEEDS & PESTICIDES,"KURNOOL DIST., AP",518401,"M.G.ROAD, NANDIKOTKUR",9502424274,,AG01,01,25,D005,567,01,Andhra Pradesh,N.GOPAL KRISHNA,NULL,AGMSP1012,25007622,NULL,
4148,1049,AGSVAA1016,SRI SHIVAKUMAR AGRO CENTER,"DAVANGERE, KA",577001,"SHOP NO.109/88, OPP.UMIYA MAND",7353547954,29AIPPN3049P1ZC,AG01,01,25,D007,807,10,Karnataka,N.GOPAL KRISHNA,NULL,AGSVAA1016,25023100,NULL,
4293,1049,AGLAA1827,LAXMI AGRO AGENCY,PALGHAR,401403,"MANOR,TAKWAHAL",9960640518,27AMCPS2451B1ZD,AG01,01,25,D002,838,13,Maharashtra,N.GOPAL KRISHNA,NULL,AGLAA1827,25009350,NULL,
4304,1049,AGVFS1772,VTR FARM SEEDS,"UTHUKOTTAI,THIRUVALLUR",602026,"NO.46, NAGALAPURAM ROAD",9940734095,33AOKPT4179D1ZQ,AG01,01,25,D015,901,22,Tamil Nadu,N.GOPAL KRISHNA,NULL,AGVFS1772,23151892,NULL,
4315,1049,AGMKK1820,MAA KRISHI KENDRA,"MAARPUR,BANKA",813108,KUSHMAHA,9661925295,,AG01,01,25,D008,802,04,Bihar,N.GOPAL KRISHNA,NULL,AGMKK1820,25015488,NULL,
4334,1049,AGSAS1324,SHIV AGRO SALES,JIND,126112,"OLD GRAIN MARKET, SAFIDON",9068363202,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGSAS1324,25003487,NULL,
4335,1049,AGSKT1355,SHREE KAMESHWARI TRADERS,NIZAMABAD,503001,NAMDEVWADA,9248032139,,AG01,01,25,D006,668,36,Telangana,75/7425,NULL,AGSKT1355,25007313,NULL,
4336,1049,AGDKB1354,DURGA KHAD BEEJ BHANDAR,MUZAFFAPUR,843128,"NEKNAMA BLOCK,MINAPUR,",9934285209,10BQTPD6916Q3ZA,AG01,01,25,D008,612,04,Bihar,75/7425,NULL,AGDKB1354,25003487,NULL,
4337,1049,AGGKS1326,GUPTA KHAD STORE,AMBALA,133203,"SHOP NO.19,NEW GRAIN MANDI,MUL",9813175511,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGGKS1326,25003487,NULL,
4338,1049,AGNCK1308,NEW CHOUNDHARY KHAD BHANDAR,CHANDHAT,121102,"CHANDDHAT CHOWK,ALIGARH ROAD,C",9671454428,,AG01,01,25,D013,536,07,Haryana,75/7425,NULL,AGNCK1308,25003487,NULL,
4340,1049,AGSA1325,SAI AGROS,NASIK,422606,"DAPUR,SINNAR,SINNAR,NASIK",9850309240,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGSA1325,25003487,NULL,
4341,1049,AGSCA1362,SHREE CHAITANYA AGRO ENTERPRISES,Pune,413102,"Gunawadi Road, Baramati",8007946040,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGSCA1362,25003487,NULL,
4342,1049,AGBKS1357,BALAJI KRISHI SEVA KENDRA,Jalna,431114,Bhokardan,9764945822,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGBKS1357,25003487,NULL,
4343,1049,AGGKK1319,GIRNAI KRISHI KENDRA,JALGAON,425103,"H.NO.37, KARAUDINJI NAGAR,",9850641017,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGGKK1319,25009217,NULL,
4344,1049,AGSDS1315,SHRI SADGURU SEEDS,PUNE,411037,"136/4, BHADALE WASTI,URULI-DEW",9422079993,27ACTFS3019E1ZY,AG01,01,25,D002,894,13,Maharashtra,75/7425,NULL,AGSDS1315,25004798,NULL,
4345,1049,AGPE1303,PANDA ENTERPRISES,SAMBALPUR,768005,SAMBALPUR,9777356328,,AG01,01,25,D004,689,18,Odisha,75/7425,NULL,AGPE1303,25009217,NULL,
4347,1049,AGSKV1382,SUNIL KRISHI VIKAS,SOLAPUR,413202,KARMALA,9423526941,,AG01,01,25,D002,562,13,Maharashtra,75/7425,NULL,AGSKV1382,25009217,NULL,
